review	length of text	sentiment
While in one country, Spain, Luis Bunuel and Salvador Dali combined forces to create the benchmark of short-subject, cinematic surrealism, Un Chien Andalou, Walt Disney and his collaborator Ub Iwerks in America worked on Steamboat Willie, the most prominent of the early synchronized sound cartoons (it was revealed that this was not the first, contrary to other reports). It's also one of the more successfully simplistic and funny of the Mickey Mouse shorts (still in a silent-film way- the only sounds are little irks and bleeps from the Mickey and the animals). It also goes by fairly quickly for its less-than-ten minute run. But in these minutes one gets the immediate sense of how much fun Disney has with his characters, and how the newfound use of sound changes how his creation uses the animals as musical tools. There's no story to speak of, just random things that happens and occurs because of Mickey (err, Steamboat Willie) on this boat on a river. And like the better Mickey Mouse shorts, his lack of speaking acts as an advantage. It's a must-see if you haven't seen it as a kid, but if you have it might still be worth another look.	1149	positive
Back in the 70's, a small-time Texas filmmaker named S.F. Brownrigg directed a handful of surprisingly decent low-budget drive-in horror flicks which seem to have developed a small cult following over the years. Before viewing his first film, Don't Look In The Basement, I wasn't too sure what to expect, but I sure as hell didn't expect it to turn out to be the only Texas horror I thought was better than the Chainsaw Massacre. I don't know, this might actually be my all-time favorite horror movie.<br /><br />We begin in an isolated insane asylum. At first, it seems like a rather laid-back place to get mentally healthy, considering all the patients are allowed to roam around freely and whatnot, as if it were their house (I guess it is). none of them seem all that dangerous, only delusional. The residents include a love-nympho, a 700 year old woman, a man-child, a spaz, a guy who thinks he's in a war, a woman who thinks she has a baby, and a guy who thinks he's a judge. One day, out of nowhere, Judge kills the doctor with an axe, shortly thereafter, the wanna-be baby mama kills the nurse. Ten minutes into the movie, and things are looking really ugly. Perhaps the new nurse will know what to do, then again, perhaps not. Giving away more would do more harm than good. It's best to plunge head first into this one, knowing as little as possible. If you can appreciate honest-to-God, untampered with horror, then you will not be disappointed. <br /><br />If you liked Scream, if you liked Wrong Turn, if you go for that unoriginal, over-produced, over-scored digital Hollywood garbage, then chances are high you just wont see the beauty in this one. Don't Look In The Basement, being a first attempt makes the quality all the more shocking. The atmosphere and the graininess fit into the location and the score like a glove. Unfortunately, good ol' S.F. used up most of his good ideas on his first movie, although, the next entry in his Texas-sized quadrilogy, is somewhat of a masterpiece, that is, if you're into extra sleazy, mean-spirited, Hixploitation like someone I know. If you fall in love with Brownrigg's first two, and absolutely must find out what else he had to offer, check out Don't Open The Door, and The House Where Hell Froze Over. Don't Look in The Basement has everything that successful horror needs, no stars, no budget, no digital effects, just an original story brought to life in an insane asylum, with a dozen cast members, and a somber, subtle score, and of course, the twist. This is real horror for the real horror fan. 10/10	2568	positive
I don't really know why but I watched this with quite a sense of anticipation. Unfortunatly it was misplaced. Firstly this is not horror, it doesn't scare and (unless it was even worse than I gave it credit for - which is possible) doesn't try to. It's a trashy comedy and the fact I smiled once means I gave it a 2 not a 1. This film ripps of Gremlins in a truly special way, I can't claim to have ever seen a film which devotes its self more. Very, Very bad - avoid.	468	negative
"I've never read a good review for ""Vanity Fair"" and I can't understand why. For something that was ""rushed through in ten days"" it all comes off surprisingly well. Though admittedly ""Becky Sharp"" is a better movie and Miriam Hopkins a better Becky, there's nothing to stop this one from getting a solid 9/10. At times, Myrna Loy might seem just too cute and nice to be playing an utter bitch, but at other times she just has to squint her eyes and the air temperature drops a dozen degrees. Meow! The move to a more modern setting did not work against ""Vanity Fair"" and the only thing that really causes some conflict is the casting. Barbara Kent (Amelia) was under 5 feet in height, and few of the leading men were very tall either - this all coming together to make Loy look like an absolute Amazon woman!<br /><br />""Vanity Fair"" is similar to ""Craig's Wife"" in that no matter how bad the main character is, you have to love her. And you know she deserves her comeuppance, and then some, but you still feel sorry for her when she gets it. Though based on the same story as ""Becky Sharp"", this version had a different ending, which is interesting to see because most of the rest of the films were almost identical. For pleasure value, the ending of ""Becky Sharp"" is ultimately more enjoyable, although aesthetically, and from the flow of the story, there is no doubt that the ending of ""Vanity Fair"" is the better one, whether or not you actually like it."	1457	positive
Tony Hawk Underground came at a point where the series was really starting to lose its luster, Tony Hawk Pro Skater 4 did not live up to expectations and left the series really up in the air on what Neversoft and Activision could do with the series that would be different and interesting.<br /><br />Underground introduced the storymode, which was very cool because it made a whole new world for Tony Hawk Pro Skater fans. Another feature introduced which fans pretty much argued for and that was being able to get off the skateboard, which is nice because now you can actually climb, run, and do all sorts of new things.<br /><br />The levels are good, Neversoft also improved on an issue that started with Pro Skater 3 and that was the length of the level designs. The first two games for the PS1, N64 and Dreamcast were great because the levels were nice and long and some hidden features in some. Pro Skater 3 and 4 were shortened because of a handful of features that were added and really pushed the systems too their limits. In this version, they shortened those features, there isn't as many people wondering the streets, in fact there are almost none in some levels, and the graphics and the skating physics are toned down a little but not a lot.<br /><br />This game does have one con, the storymode is a little short, of course this is Neversofts first time doing this with Tony Hawk Pro Skater, so that is understandable. However, with that being said you will definitely finish this game within a day.<br /><br />Overall, a great addition that was very refreshing.	1578	positive
"""Don't bother to watch this film"" would be better advice, if you like Marilyn Monroe in her other roles. This was a huge disappointment considering the great cast, not just Marilyn.<br /><br />The story was just nothing, certainly nothing like described on the VHS box, of course. There simply was no suspense, precious little excitement and too many dull spots, most of them trying to show why ""Nellie"" (Monroe) was so messed up. This was not a good role for Monroe, even though I didn't need to see this character to know she could act. ""Some Like It Hot"" alone was good enough evidence for me. But this role just didn't fit her and it's no surprise it wasn't one of her more popular films.<br /><br />It's also too bad a film had the waste of the talents of actors like Richard Widmark, Anne Bancroft, Elisha Cook Jr., Jeanne Cagney, Donna Cocoran and others. <br /><br />Summary: it's not entertaining and entertainment is the name of the game."	948	negative
I am shocked. Shocked and dismayed that the 428 of you IMDB users who voted before me have not given this film a rating of higher than 7. 7?!?? - that's a C!. If I could give FOBH a 20, I'd gladly do it. This film ranks high atop the pantheon of modern comedy, alongside Half Baked and Mallrats, as one of the most hilarious films of all time. If you know _anything_ about rap music - YOU MUST SEE THIS!! If you know nothing about rap music - learn something!, and then see this! Comparisons to 'Spinal Tap' fail to appreciate the inspired genius of this unique film. If you liked Bob Roberts, you'll love this. Watch it and vote it a 10!	638	positive
Story of a man who has unnatural feelings for a pig. Starts out with a opening scene that is a terrific example of absurd comedy. A formal orchestra audience is turned into an insane, violent mob by the crazy chantings of it's singers. Unfortunately it stays absurd the WHOLE time with no general narrative eventually making it just too off putting. Even those from the era should be turned off. The cryptic dialogue would make Shakespeare seem easy to a third grader. On a technical level it's better than you might think with some good cinematography by future great Vilmos Zsigmond. Future stars Sally Kirkland and Frederic Forrest can be seen briefly.	655	negative
The Matador is a witty, dark humored and suspenseful melodrama that rises way above mediocrity thanks to two very engaging and earnest performances from Pierce Brosnan, who has never ever been better than here, and the always reliable Greg Kinnear who has his best role here since playing Jack Nicholson's gay neighbor in As Good As It Gets. A big plus goes to the writing as well. Clever and occasionally very nasty dialog is delivered with gusto by Brosnan and the slow building friendship between these two different individuals is completely convincing all the way. The story takes a few unexpected turns and keeps the viewer constantly guessing where it's gonna go next.<br /><br />Nice artistic touches from the director such as good use of music, clever editing and somewhat unorthodox cinematography at times set a nice tone for the film and for a long period of time you don't quite know how to label the film. But that's also thanks to a very well written script which keeps the viewer (me anyway) on the edge of his seat.	1032	positive
"""Tale of Two Sisters"" has to be one of the creepiest films I've seen recently. In the end there is no actual supernatural element, despite what one is led to expect throughout the film. The story seems to be about two sisters, who, upon returning to their father's home after some sort of absence (later revealed to have been a stay in a mental institution) are forced to deal with not only a seemingly schizophrenic and possibly bi-polar stepmother who lashes out at the younger of the girls when the mood strikes her and cheerfully tells them she's prepared a special dinner at another time., but some presence as yet unexplained. It is later revealed that the younger sister is dead, and exists only in the troubled minds of her older sister, who was unable to save her, and her step-mother, who was callous enough to let her die. Much about the specifics of the strange family is not revealed in the film, but it definitely leaves a viewer with a creepy feeling and a nagging hint of confusion. Definitely not light viewing; watch this one when you really want to think about what you've seen. It's a hell of a puzzler."	1123	positive
I saw this film as a kid about 30 years ago, and I haven't forgotten it to this day. I couldn't say whether it's a good picture. But in those days I instantly fell in love with Jean Simmons. The memories concentrate on the very erotic feel of the movie, but I still remember the plot. Simmons was very young then, and there is another film that gave me the same feeling: David Lean's GREAT EXPECTATIONS. And again it was the young Jean Simmons. It's a pity that BLUE LAGOON is not available on video; I'd like to correct my memories...	535	positive
"SPOILER!!!! Mind Ripper hmmmm.... I had just watched the nightmare on elm street movies and had just found out about Giovanni Ribisi. I thought Giovanni Ribisi hadnt done any horrors so I checked into it. I saw ""the outpost"" (mind ripper) I checked on my Tivo for it. There was an air date on Sci Fi. So I was set. I got my pop corn ready came in and set on the couch and what the hell is this? A freakin bold guy in blue sweat pants running around yelling! Nothing is scary about this movie at all! If anything its funny! Funny how low the budget is, funny how predictable it is, funny how bad the acting is and funny how much money it DIDNT make. Ok giovanni ribisi is a good actor but this movie is dumb. It is so stupid. They killed him at the end and then they go on this plane and the ""monster"" is on it. They shoot him in the head with a shotgun and it falls a long way to the ground. And<br /><br />-GASP- The killer ending, Its Still Alive! WOOHHH! Scary! woooohhhh! Sucky fat sack of crap waste of 2 hours.<br /><br />Bottom Line: You have somewhere to go and you need to kill some time. Mind ripper isnt the suggestion. I'd rather sit out naked in the snow than watch this movie a second time.<br /><br />OVERALL GRADE: F- - - - - - - - - - (ENTERNAL)"	1262	negative
"The best thing about this movie is that it is fun. It is full of humorous characters and interesting situations, starting with the blithe, innocent Pecker (played appealingly by Edward Furlong) who likes to photograph almost everything he sees in every day life. Other great characters include Pecker's friend Matt (""he's a thief, but he's really a nice guy""), Pecker's sister Chrissy (who is addicted to sugar), and Pecker's Catholic grandmother who discovers life in a statuette of the Virgin Mary in her room.<br /><br />The movie gently makes a point about how every day life has many riches to offer, and it succeeds in making this point without being too heavy-handed about it. There is always a risk, when making messages about the value and dignity of ""common people"", of sliding into a kind of reverse ""holier than thou"" - but ""Pecker"" avoids these traps, allowing the audience to get the point while allowing enough breathing room for viewers to compare this message to their own thoughts on the subject.<br /><br />I recommend the movie mostly because it is a lot of fun."	1082	positive
oh boy !!! my god !!!! what a movie this one !!! this is probably the best movie by Sean Austin and Louis gosset Jr !!! i have seen all the comment for this movie...and most of them loves this movie very much!! but i don't really understand why it only got 6.1 in IMDb list??? this one should above 7.5 !!! the plot and the script are completely perfect !! the acting are superbly well acted!!! Sean Austin...will wheaton...Louis gosset Jr....have given an incredible and awesome performance in their career!!! this movie contain a lot of action!!!<br /><br />just one thing i gotta say....WATCH IT !!!!!!!!!<br /><br />10 OUT OF 10 STARS !!	641	positive
Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography. I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi. I could write a whole list of factual errors, but it would go on for pages. In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves. If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film. The filmmakers tried hard, but the movie seems awfully sloppy to me.	637	negative
Okay, if this film had been made much later in the history of cinema, it wouldn't be particularly worthwhile. However, in 1898, films were in their infancy and they were almost all rather dull and had no real story to tell--instead just showing normal everyday folks doing everyday activities. If seen today, almost all of them are hopelessly dull and very, very short--often less than one minute long! And so in light of this, this short clip of a movie is pretty swell stuff and might just make you laugh. Two guys, a miller and a chimney sweep bump into each other--falling and throwing flour and coal dust all over each other as they tussle. THAT'S ALL--the film is over before you know it.	694	positive
Well - when the cameo appearance of Jason Miller (looking even more eroded than he did in Exorcist IV) is the high point of a picture, what've you got?<br /><br />It's a little bit country, a little bit rock n' roll: mix two drunks with money who drag their kid all over the place with a bog-dried mummy (have you figured that one out yet - DRIED in a bog?) in the basement, Christopher Walken with a bad dye job, and a little girl who might have been an interesting character if they'd developed her.<br /><br />I understand - sort of - that they're going back to visit her relatives. After that....<br /><br />Problem: There are several interesting flashbacks to what I must assume is her mother being killed in a car bombing (I think). This is never connected to anything. <br /><br />Problem: What do we need the grandmother for? Now, the grandmother could be interesting. She speaks Gaelic, or Celtic, or something. Maybe you can make something of her. The best they can do is that she 's got a tobacco habit. That's all.<br /><br />Problem: They cast a real shifty character as the husband. Is he type-cast (will he sell his wife to the devil? Maybe he can look forward to the trust fund he manages for her)or is he cast against type (after all, he has a good haircut and nice clothes)? He drinks, he hesitates. He's not a bad guy. Not a good one. But dislikable. Why didn't they DO something with him?<br /><br />No problem: an old boyfriend shows up. The husband knocks him down. He comes back to knock down the husband. (It gets pretty stupid, but at least THAT character has motivation.) <br /><br />NOW - she's an alcoholic, he's an alcoholic; he might only have married her for her money. The grandmother is locked in the bedroom. The blind uncle takes our heroine to the basement to show her the mummy of a witch (are you following this?) who may come to life. In fact, you KNOW she'll come to life, the music swells. A little girl lives in the house, takes tea to the grandmother (unlocks the door to do so) and provides granny with cigarettes. Periodically, granny gets out. But nothing happens. <br /><br />Husband and wife lose the kid in the house, subsequently lose their bedroom. Uncle gets his throat cut in the basement. The leading lady has nose-bleeds. The husband drinks. They both drink. In the face of all of this, the awful truth alluded to in the first over-voice is - omigod - an abortion when the leading lady was twelve years old.<br /><br />In spite of all these dangling-thread ingredients, nobody managed to get a story on the screen. No bridge between situations, no graduation from mild disturbance to awful horror, just long slow scenes that go nowhere.;nbody, really, to care about - and they had places to go with that aspect - the innocent kid in the charge of drunks,the grandmother who might be locked up because she's a monster, but no, her worst fault is smoking. She's got great hair, good makeup. <br /><br />In short, no plot. Just a little random (predictable)violence in a dark library, with the rain gushing in, and the sound track cuing us in. You need more than a few drunks and Christopher Walken to make a movie.<br /><br />The production values were good. Oh. Nice scenery, good wardrobe. The cameraman, at least, knew what he was doing.<br /><br />I bought it. Poor me.	3326	negative
"Joyce Reynolds seems a might grown-up for the role of Janie, a boy-crazy sixteen-year old in small town America who ditches her steady guy for a visiting soldier AND winds up on the cover of Life magazine (smooching at a blanket party) all in the same week! Non-stop barrage of wisecracks, put-downs, bull talk, and unfunny bits of business such as Janie's little sister bribing family members, Hattie McDaniel (as the maid) constantly scuttling after sassy kid sis, Janie's mother involved with the Red Cross, and Janie's father trying to write an editorial on the problems with today's teenagers (as the parents, stuffy, sexless Edward Arnold and pert, chatty Ann Harding make an unlikely couple, even for 1944; he looks incapable of helping to conceive a child much less raising two of them). Nominated for an Academy Award (!) for Owen Marks' editing, Warner Bros. followed this in 1946 with ""Janie Gets Married"". Reynolds must have outgrown her co-horts by then--she was replaced by Joan Leslie. *1/2 from ****"	1015	negative
"keys to the VIP is BS.<br /><br />rob cavaliere vs Justin in season two. <br /><br />I went to school with rob cavaliere and Adriana Doria. you may remember her as the last girl he was ""picking up"". this was when the ""angry girlfriend"" came by, they made out and ""left the club together"". They were good friends at father bressani chs in woodbridge.<br /><br />whether or not rob planned it or they asked him to do it, men should know that what they are seeing is not real and the guys on here are douche bags. especially that episode.<br /><br />one more line to fill space."	575	positive
This Movie is complete crap! Avoid this waste of celluloid at all costs, it is rambling and incoherent. I pride myself on plumbing the depths of 70's sleaze cinema from everything from Salo to Salon Kitty. I like being shocked, but I need a coherent story. However if watching horses mate gets you off this film is for you. The saddest part was that lame werewolf suit with the functional wang. I mean its just plain hard to sit through, not to mention the acting is terrible and the soundtrack is dubbed badly. Please, I know the cover is interesting (what looks like a gorillas hands reaching for a woman's bare ass)but don't waste your time or money as you won't get either back.	682	negative
"Astronaut Steve West (Alex Rebar) and his comrades undertake a space mission that sees them flying through the rings of Saturn. His comrades are killed instantly, but it would seem that they are in fact the lucky ones. Steve returns to Earth a constantly oozing mass of humanoid pulp; as he turns into a savage killer, melting every step of the way, he is tracked by his friend, Dr. Ted Nelson (Burr DeBenning).<br /><br />This is often so uproariously funny - with enough absurd lines and situations to go around - that it's hard for me to believe that the laughs are all unintentional. It seems to me to be kind of a goof on low-budget genre efforts from the '50's and 60's, and as such, it's a marvelously entertaining movie. That sequence with the nurse is simply hilarious. We're even treated to a split screen sequence that doesn't really add anything, but is still a gas to watch.<br /><br />Writer / director William Sachs deserves credit for coming up with this ingenious idea; his ultra-slimy character is a memorable one indeed. I think his pacing is a little off; some scenes (like the one with the elderly couple) go on a little long, but ultimately he delivers solid, schlocky, B-movie goods with a degree of panache. The climax is especially fun.<br /><br />Arlon Obers' music is enjoyably shuddery (yet also amusingly silly during some moments), and Willy Curtis's cinematography creates some really great shots at times. That brings me to Rick Bakers' fantastic and convincing makeup effects, which form a highly respectable centerpiece for the movie, right down to the ultimate final melt.<br /><br />Rebar is under the heavy makeup for almost the entire movie (Sachs also gets my praise for having the movie hit the ground running) and does what he has to do well enough. DeBenning makes for a rather oafish and silly hero, and Ann Sweeney isn't so hot either as his wife, but Myron Healey, Michael Alldredge, and Lisle Wilson are fine in support. It's also worth it to see folk like Cheryl ""Rainbeaux"" Smith (doing an appreciable topless shot), Janus Blythe (of Tobe Hoopers' ""Eaten Alive"" and Wes Cravens' ""The Hills Have Eyes""), and even director Jonathan Demme in a bit part.<br /><br />This is a highly entertaining midnight movie with enough gore, chills, and laughs to rate it as worth catching for lovers of low-grade sci-fi / horror everywhere.<br /><br />8/10"	2388	positive
"This movie was crap with a capital ""C."" The opening scene showed promise. But that ""promise"" was broken shortly after the viewer learns where the plot is going.<br /><br />And the wooden statue, Morty, who was rather creepy in the original film, looks plain goofy in this one. It was so obviously just a guy in a cheap plastic costume. (And by the way, who else thinks ""Morty"" is one of the most un-scary names on planet earth? It ranks right up there with ""Jimmy"" or ""Fred"" when it comes to horror value. Or why not just name the wooden statute Henry-freakin'-Kissinger. ""Run, it's Dr. Kissinger!"" That'd be about as scary as ""Morty.)<br /><br />And then there's a scene where the ""hero"" hits his father's tombstone with---""a sledgehammer?"" you might guess--""a two-by-four?"" someone might venture. No, he angrily beats his father's tombstone with a twig---a freakin' twig. But worse than that, once the characters walk away, the tombstone actually, and inexplicably, bleeds. Oh brother!<br /><br />There's also a Native American guy who lives with the main character's grandparents, but apparently, does nothing except Morty-maintenance. He perpetuates creepy Morty-legends, warns those who scoff, and even fixes Morty's arm when it becomes damaged during a childish prank. But for all his respect for and tenderness toward Morty, does Morty give a rat's hairy behind? No.<br /><br />The movie drags on, and eventually several people die in ways that correspond to their worst fears (sort of). This film is a real yawner. Don't rent it."	1537	negative
I gave this movie a rating of 1 (Awful). The only reason that it should even get a 1 instead of a big -0- is Ben Kingsley, who always shines not matter what terrible material is thrown his way.<br /><br />Mira Sorvino is so out of her element here that as a viewer one simply can't get over the fact that she is even in such a piece.<br /><br />Stupid, stupid story and horrible production. Do NOT waste your video rental $.	424	negative
"In the 3rd installment of ""Left Behind"" the makers did not care to put ANY KIND OF CONTINUITY into the plot. Although all weapons on the planet have been confiscated by the United Nations, World War III suddenly begins at the snap of a finger. Within a few split-seconds the ex-lover of one of the main protagonists moves from passionately seducing him to outright hatred to a melancholy confession of love without any trace of direction. <br /><br />But foremost this film is really an irony-free zone. After the president of the United States accepts Jesus as his savior he immediately becomes a suicide bomber and blows up a skyscraper in the middle of the city. Osama Bin Laden will be very jealous when he sees this film!"	726	negative
"I just recently stumbled upon this show when ABC family had an all day marathon before season 2 premiered. I remember seeing previews for the show back in 2007, and thought it would be short lived, and not very well written, because it was on ABC Family.<br /><br />Never doubt an ABC family show! This show surprised me in the best way possible. Not only is the show well written, story lines are realistic, funny, and enjoyable. I was expecting a lot of talk about relationships, something like ""this guy dated that girl who dumped me for that kid... etc."" But this show is anything but! The characters are appealing and you really feel a connection between them all. There is a lot of chemistry between the actors, and they can really make you feel like the stuff is happening right before your eyes.<br /><br />Don't doubt this show, it is truly enjoyable to watch... and get hooked on ;)"	892	positive
I know what most of people will think about this movie without even seen it... 'The typical movie from a famous singer... It will be a pink movie,a teenage film,it will be stupid...' and stuff like that... And yes, it is...I mean, it's a pink movie... But, you know what?...I LOVED IT. Seriously...It's a very romantic film... I think that every girl in this world has dreamed with something like the plot of 'Popstar'... Met his favorite singer, know him as a person...and even have a romance with him...right? ^^ I really enjoyed watching that... In addition, it's really funny... <br /><br />I think the actors did a great job... There's a lot of loving characters...And, Aaron Carter (JD) is not the exception... To be honest, in the first five minutes of see him act, i thought 'this will be awful'...But then , he surprised me really pleasingly...<br /><br />Also, I gotta say that the music performances on the film are GREAT! I specially loved the part when JD ( Aaron) sings without music , (only with a guitar) a very beautiful song...This guy is really talented... Time will tell...<br /><br />My advice to you?...Watch it! Don't make a prejudice ;-)	1161	positive
This is a low budget stop motion monster movie from Brett (A Nymphoid Barbarian in Dinosaur Hell) Piper... and it delivers just what I'd expect from such a production: light-hearted (though cheesy) dialogue, some cute actresses and lots of stop motion critters. That's why I've given the film 10 out of 10 - because it delivers what I expected it to deliver... and a bit more: Brett doesn't penny-pinch when it comes to putting his critters on screen. He hurls lots of bugs at his cast for the finale. And, anyway, I LOVE stop motion monsters which, compared to CGI critters in bigger budgeted movies, just seem to be that much fun to watch.	641	positive
"Soulless milking of cash cow franchise. Generic superhero flick. CGI showcase. Gavin Hood's ""A Series of Improbable Events."" Combinatoric iteration of mutant fight scenes strung together by inane exposition justifying formation/dissolution of arbitrary alliances. I'm not expecting Shakespeare here but the cliché per minute meter was off the charts: Primal scream while looking skyward and kneeling over murdered girlfriend. Renegade military commander. Predictable double crosses. Revenge sought for slain lover. Erased memories. Evil character discovering morality at last minute. Misguided failures to execute nemeses after defeating them in melee. Lover not really dead. Lover actually acting as spy for hero's arch-nemesis. Girlfriend/spy actually falls for protagonist. Good people work for antagonist in order to save kidnapped family members. Evil mastermind fails to honor promises to reluctant employees. Kindly old couple care for weary hero and get murdered for their troubles. Certain deaths averted as third parties arrive on scene before coup de grace. Hero reluctantly joining secret government agency. Abandonment of elite squad in protest over slaughter of innocents. Scientists unable to control indestructible killing machine of their own creation. Outdated but lovable government 'secret weapon' kills off better designed but heartless successor. Hero strolls away from wreck and casually lights a trail of gasoline behind him. After everyone has given up, flatlined heart monitor picks up a pulse. Evil mastermind explains plans to hero he no longer sees as a threat. Hero refuses to kill defeated foe because he's ""better than that"". Transparent comic relief character makes hilarious understatements and offbeat comments. Cheerful psychopath revels in random murderous rampages. Nigh indestructible Goliaths hurl one another through a series of walls and other physical traumas that would kill a mere mortal. Man dispatches dozens of gun wielding enemies with nothing but skillful swordplay. Common sense and the laws of physics, biology and chemistry temporarily abandoned. Antagonist using loved one's murder as justification for misguided crusade.<br /><br />I could go on but this is just exhausting. If you're over the age of twelve and not living in mom's basement, there's probably nothing here for you. Depressingly enough, it's not too far off of par for superhero movies so discount all I've written if you can't get enough of the genre."	2473	negative
I'm impressed that 'Hail the Woman' was made at all; released just one year after American women got the vote, this turgid drama makes an earnest plea against the sexual double standard which judges women's sexual behaviour more harshly than men's.<br /><br />SLIGHT SPOILERS AHEAD. A prologue, set in the Plymouth colony in 1621, shows a Pilgrim girl sentenced to the ducking stool for flirting with a boy; the boy is not penalised. Now we come to Flint Hill, New Hampshire in the present (1921). Oliver Beresford (Theodore Roberts) is a bombastic bible-thumper: what we call in Britain and Australia 'a God-botherer'. Beresford is determined that his son David (Lloyd Hughes) become a preacher, regardless of how David feels about it. As for Beresford's daughter Judith ... well, Beresford is confident that women aren't important enough to be anything more than wives and mothers. Apparently, God told him this personally.<br /><br />David's evangelical career is compromised when he impregnates Nan Higgins, the stepdaughter of the local odd-jobs man. (Tully Marshall's character is identified in the credits solely as the 'Odd Jobs Man', but a close-up of a cheque reveals his name to be Jake Higgins. The prejudices of 1921 require that he be merely Nan's stepfather, not her biological parent.) To save his son from scandal, Beresford buys off Nan's stepfather with a cheque. Nan goes off to the big city, to melt into oblivion as one more unwed mother.<br /><br />Judith is naturally dismayed by the limitations imposed upon her by her gender. (Or rather, by other people's perceptions of it.) She meets Wyndham Gray (excellent performance by Edward Martindel), an author who encourages her to transcend sexist stereotypes. But Judith is informally engaged to local lout Joe Hurd, who won't put up with such nonsense. Hurd is played by Vernon Dent, a burly performer now remembered solely for comedy roles (as a second banana to Harry Langdon, and as a villain in Three Stooges movies). He gives an excellent performance here, in a role outside his usual range. Sadly, in real life Dent spent his final years in poverty and total blindness due to diabetic retinopathy.<br /><br />Eventually, Judith ends up working at an orphanage. This being 1921, I expected the orphanage to be whites-only, so I was pleasantly surprised when it turned out to include one Chinese boy. (And unpleasantly surprised when he's used as the butt for a racial joke.) The movie makes one odd error here. In a Christmas sequence, we see the orphanage mistress reciting 'A Visit from Saint Nicholas' ... but (in a dialogue title) she credits Santa Claus with SIX reindeer rather than eight. This is followed by a brief animation sequence, showing Santa with six reindeer hitched to his sleigh. I assume that the animators (either by accident, or to save money) left out two reindeer, and the title card revised the poem to match the error.<br /><br />Lloyd Hughes was generally a bland and unimpressive actor. His most famous performance is his role in 'The Lost World', where he's easily upstaged by a rampaging brontosaurus. For his climactic scene in 'Hail the Woman', Hughes gives a memorable performance as he finally rebels against his father's tyranny. In his performance as the gospel-shouting father, Theodore Roberts has been accused of overacting to the point of making his role a caricature. I disagree: sadly, decades after this film was made, I continue to encounter 'holy' fools exactly like this man ... willing to destroy the lives of everyone around them, and firmly convinced they have God's authority to do so.<br /><br />In the central role of Judith Beresford, Florence Vidor gives a sensitive, realistic and intelligent performance. I normally dislike Vidor, who tended to be cast in glamour roles but wasn't pretty enough to justify them. Here, her character's physical appearance is less relevant than usual.<br /><br />This entire film is impressively directed by John Griffith Wray, a director who deserves to be much better known. Sadly, Wray died at the onset of the talkies era, in his mid-thirties: had he lived another ten years, he would surely have helmed several early sound classics. In 'Hail the Woman' there are several extremely beautiful screen compositions: I was especially impressed by a scene in the New England forest, when Vidor and Dent have a quarrel in front of an enormous uprooted tree. (I wonder where this was actually filmed.) 'Hail the Woman' deals with unpleasant subject matter, but it deserves to be much better known, and I'll rate this ambitious drama 9 out of 10.	4607	positive
"This was really a ""nightmare"" of a film; i saw it about nine years ago on cable TV and haven't forgotten it since. Pixote is a 10-year old boy who lives in the streets of Sao Paulo (Brazil) and leads a criminal life in the company of his teenage friends Lilica, Dito and Chico; they steal, pimp, sell drugs and murder in order to survive each day...In the first half of the film Pixote is caught by the police and sent to a sadistic foster home where he witnesses every kind of abuse from the older inmates and guards to the rest of the kids; one night, Lilica's boyfriend is killed after a beating, so Pixote and his friends decide to escape during a riot. The rest of the film shows Pixote's descent into a criminal life; he doesn't show any feelings or remorse after killing someone, maybe because he knows that good feelings are of no use in the world in which he lives...But there is, however, a gentle scene in the middle of the film; Pixote and his friends are at the beach, missing (and wishing) one of his friends from the reformatory was there. I thought it was a poetic and melancholy scene in the middle of all these horrible events...the boys are obviously longing not only for their friend, but for a better life. Director Hector Babenco's ""Pixote"" is a brave and depressing film that doesn't shy away from showing the harshest reality many people -including myself- tend to ignore or misunderstand. This film will probably open your eyes and make you a better and compassionate person."	1500	positive
"This is a docudrama story on the Lindy Chamberlain case and a look at it's impact on Australian society. It especially looks at the problem of innuendo, gossip and expectation when dealing with real-life dramas.<br /><br />One issue the story deals with is the way it is expected people will all give the same emotional response to similar situations. Not everyone goes into wild melodramatic hysterics to every major crisis. Just because the characters in the movies and on TV act in a certain way is no reason to expect real people to do so. This is especially apt for journalists and news editors who appear to be looking for the the big sob scene that will pull the ratings. It's an issue that has to be constantly addressed.<br /><br />The leads play the characters with depth, personality and sensitivity. And they are ably supported by a large cast all playing based-on-fact individuals. Some viewers may be surprised to learn that many of the supporting cast in this story are people better known in Australia as comic actors. It re-enforces my idea that comic actors make some of the best supports in dramas because with comedy they know how to establish quick impressions of individuals.<br /><br />(Spoiler warning!)<br /><br />I have to say something very personal here; in that I am actually an ex-Adventist who was a practicing member in Australia at the time this incident occurred; so I have a slightly different impression of the story than most. I think it is handled with amazing creativity and personality, and emotional heart. I think the best scene is the one where the couple are hounded by the new choppers. It captured the themes of the story brilliantly.<br /><br />I once heard Fred Schepsi say in an interview that he told the actors to ""play the best case for their character they could"". While this is especially apt for this story, I think it is also a general principle that should apply to all acting as well."	1942	positive
